Month,region,partner_name,vertical,inc_trial_conversion
January,EMEA,Samsung,Mobile OEM,0.36%
January,APAC,KT,Telco,0.32%
January,EMEA,Turkcell,Telco,0.50%
January,EMEA,Xiaomi,Mobile OEM,0.14%
January,EMEA,Turk Telekom,Telco,0.32%
January,APAC,Samsung,Mobile OEM,0.62%
January,APAC,Oplus,Mobile OEM,0.01%
January,AMS,G1,Media & Ent,0.74%
January,EMEA,Vodafone,Telco,0.14%
January,AMS,Google Nest,CE & Devices,0.22%
January,AMS,YouTube TV,Media & Ent,0.02%
January,EMEA,Samsung,Mobile OEM,0.33%
January,AMS,Best Buy,Retail & SuperApps,0.05%
January,APAC,KT,Telco,0.31%
January,APAC,Flipkart,Retail & SuperApps,0.17%
January,APAC,Google Nest,CE & Devices,0.06%
January,APAC,Google Nest,CE & Devices,0.07%
January,EMEA,Google Nest,CE & Devices,0.06%
January,EMEA,Xiaomi,Mobile OEM,0.17%
January,AMS,Best Buy,Retail & SuperApps,0.09%
January,EMEA,Vodafone TR IB,Telco,0.33%
January,EMEA,Turkcell,Telco,0.58%
January,EMEA,G1,Media & Ent,0.17%
January,AMS,Google Fi IB,Telco,0.32%
January,APAC,WearOS,Mobile OEM,0.04%
January,APAC,Rovio Angry Birds,Gaming,0.03%
January,AMS,Xiaomi,Mobile OEM,0.01%
January,AMS,Rovio Angry Birds,Gaming,0.07%
January,APAC,KT,Telco,0.40%
January,AMS,G1,Media & Ent,0.74%
January,APAC,G1,Media & Ent,0.25%
January,AMS,Google Fi IB,Telco,0.13%
January,APAC,Rakuten Mobile,Telco,0.05%
January,AMS,Xiaomi,Mobile OEM,0.13%
January,APAC,G1,Media & Ent,0.23%
January,EMEA,Turkcell,Telco,0.40%
January,AMS,Samsung,Mobile OEM,0.99%
January,APAC,Samsung,Mobile OEM,1.19%
January,APAC,Flipkart,Retail & SuperApps,0.21%
January,APAC,KDDI IB,Telco,0.60%
January,APAC,Oplus,Mobile OEM,0.01%
January,AMS,Google Nest,CE & Devices,0.24%
January,AMS,Google Nest,CE & Devices,0.20%
January,AMS,Google Fi IB,Telco,0.15%
January,APAC,WearOS,Mobile OEM,0.03%
February,EMEA,Pixel,Mobile OEM,0.03%
February,EMEA,Xiaomi,Mobile OEM,0.05%
February,AMS,Samsung,Mobile OEM,0.56%
February,APAC,LG U+,Telco,0.31%
February,AMS,G1,Media & Ent,0.01%
February,AMS,Best Buy,Retail & SuperApps,0.10%
February,APAC,Rakuten Mobile,Telco,0.04%
February,EMEA,Xiaomi,Mobile OEM,0.07%
February,APAC,Google Nest,CE & Devices,0.10%
February,EMEA,Vodafone UK IB,Telco,0.03%
February,AMS,miHoYo,Gaming,0.15%
February,APAC,Docomo,Telco,0.01%
February,AMS,Rappi,Retail & SuperApps,0.02%
